Name,Price,Release Date,SIM Support,Phone Dimensions,Phone Weight,Operating System,Screen Size,Screen Resolution,Screen Type,Screen Protection,Internal Memory,RAM,Card Slot,Processor,GPU,Type,Front Camera,Front Flash Light,Front Video Recording,Back Flash Light,Back Camera,Back Video Recording,Bluetooth,3G,4G/LTE,5G,Radio,WiFi,NFC
SamsungGalaxyA02s,"Rs.17,599",2020 November 24,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM dual stand-by),164.2 x 75.9 x 9.1 mm ,196 g,Android 10,6.5 inches,720 x 1600 pixels,IPS LCD Capacitive Touchscreen 16M Colors Multitouch  ,No,32/64 GB,3/4 GB,Yes,Qualcomm SDM450 Snapdragon 450,Adreno 506,Li-Po 5000 mAh non-removable,5 MP,No,1080p@30fps,Yes,13MP + 2MP + 2MP,1080p@30fps,Yes,Yes,Yes,No,Yes,No,
AppleiPhone12Mini,"Rs.140,499",2020 October 13,Single SIM (Nano-SIM and/or eSIM),131.5 x 64.2 x 7.4 mm,135 g,iOS 14,5.4 inches,1080 x 2340 pixels,Super Retina XDR OLED HDR10 625 nits (typ) 1200 nits (peak),Scratch-resistant glass oleophobic coating,64/128/256 GB,4 GB,No,Apple A14 Bionic,Apple GPU (4-core graphics),Li-Ion 2227 mAh non-removable,12 MP f/2.2,No,4K@24/30/60fps 1080p@30/60/120fps gyro-EIS,Yes,12 MP + 12 MP,4K@24/30/60fps 1080p@30/60/120/240fps HDR Dolby Vision HDR (up to 30fps) stereo sound rec.,Yes,Yes,Yes,No,Yes,Yes,
AppleiPhone12Pro,"Rs.196,499",2020 October 13,Single SIM (Nano-SIM and/or eSIM) ,146.7 x 71.5 x 7.4 mm,189 g,iOS 14.1,6.1 inches,1170 x 2532 pixels,Super Retina XDR OLED HDR10 800 nits (typ) 1200 nits (peak),Scratch-resistant glass oleophobic coating,128/256/512 GB,6 GB ,No,Apple A14 Bionic,Apple GPU (4-core graphics),Li-Po 2815 mAh non-removable,12 MP f/2.2,No,4K@24/30/60fps 1080p@30/60/120fps gyro-EIS,Yes,12 MP + 12 MP + 12 MP,4K@24/30/60fps 1080p@30/60/120/240fps 10‑bit HDR Dolby Vision HDR (up to 60fps) stereo sound rec.,Yes,Yes,Yes,No,Yes,Yes,
vivoY20s,"Rs.29,300",2020 October 19,Dual SIM (Nano-SIM dual stand-by),164.4 x 76.3 x 8.4 mm,192.3 g,Android 10 Funtouch 10.5 or Funtouch 11,6.51 inches,720 x 1600 pixels,IPS LCD,No,128 GB,4 GB,Yes,Qualcomm SM4250 Snapdragon 460,Adreno 610,Li-Po 5000 mAh non-removable,8 MP f/1.8,No,1080p@30fps,Yes,13 MP + 2 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,No,FM radio,Yes,No
OnePlusNordN105G,"Rs.57,500",2020 October 26,Dual SIM (Nano-SIM dual stand-by),163  x 74.7 x 9 mm,190 g,OxygenOS based on Android™ 10,6.49 inches,1080 x 2400 pixels,IPS LCD Capacitive Touchscreen 16M Colors Multitouch  ,Corning Gorilla Glass 3,128 GB, 6 GB,Yes,Qualcomm® Snapdragon™ 690 5G mobile platform,Adreno 619L,Li-Po 4300 mAh non-removable,16 MP,No,1080p@30/60fps gyro-EIS,Yes,64 MP + 8 MP + 2 MP + 2 MP,4K@30fps 1080p@30/60/120fps; gyro-EIS,Yes,Yes,Yes,Yes,No,Yes,Yes
HuaweiY7A,"Rs.32,999",2020 October 21,Dual SIM (Nano-SIM dual stand-by),6.52 x 3.03 x 0.37 in,206 g,Android 10 EMUI 10.1 no Google Play Services,6.67 inches,1080 x 2400 pixels,IPS LCD Capacitive Touchscreen 16M Colors Multitouch  ,No,128 GB,4 GB ,Yes,Kirin 710A,Mali-G51 MP4,Li-Po 5000 mAh non-removable,8 MP f/2.0,No,1080p@30fps,Yes,48 MP + 8 MP + 2 MP + 2 MP,1080p@30/60fps,Yes,Yes,Yes,No,No,Yes,No
OppoA15,"Rs.19,299",2020 October 15,Dual SIM (Nano-SIM dual stand-by),164 x 75.4 x 7.9 mm,175 g,Android 10 ColorOS 7.2,6.5 inches,720 x 1600 pixels,IPS LCD Capacitive Touchscreen 16M Colors Multitouch  ,No,32 GB,3 GB,Yes,Mediatek MT6765 Helio P35,PowerVR GE8320,Li-Po 4230 mAh non-removable,5 MP,No,No,Yes,13 MP + 2 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,No,FM radio,Yes,No
OnePlus8T,"Rs.143,500",2020 October 14,Dual SIM (Nano-SIM dual stand-by),160.7 x 74.1 x 8.4 mm ,188 g,Android 11 OxygenOS 11,6.55 inches,1080 x 2400 pixels,Fluid AMOLED Capacitive Touchscreen 16M Colors Multitouch  ,Corning Gorilla Glass,128 GB,8 GB,No,Qualcomm SM8250 Snapdragon 865,Adreno 650,Li-Po 4500 mAh non-removable,16 MP f/2.4,No,1080p@30fps gyro-EIS,Yes,48 MP + 16 MP + 5 MP + 2 MP,4K@30/60fps 1080p@30/60/240fps Auto HDR gyro-EIS,Yes,Yes,Yes,Yes,No,Yes,Yes
InfinixNote8,"Rs.27,299",2020 October 15,Dual SIM (Nano-SIM dual stand-by),175.3 x 78.8 x 9 mm,,Android 10,6.95 inches,720 x 1640 pixels,IPS LCD Capacitive Touchscreen 16M Colors Multitouch  ,Corning Gorilla Glass,128 GB,6 GB ,Yes,Mediatek Helio G80 (12 nm),Mali-G52 MC2,Li-Po 5200 mAh non-removable,16 MP + 2 MP  ,Yes,1080p@30fps,Yes,64 MP + 2 MP + 2 MP + 2 MP,1440p@30fps,Yes,Yes,Yes,FM radio,Yes,No,
InfinixNote8i,"Rs.24,699",2020 October 15,Dual SIM (Nano-SIM dual stand-by),171.4 x 77.7 x 8.9 mm,,Android 10 XOS 7.1,6.78 inches,720 x 1640 pixels,IPS LCD Capacitive Touchscreen 16M Colors Multitouch  ,Corning Gorilla Glass,128 GB,6 GB,Yes,Mediatek Helio G80,Mali-G52 MC2,Li-Po 5200 mAh non-removable,8 MP,Yes,1080p@30fps,Yes,48 MP + 2 MP + 2 MP + 2 MP,1440p@30fps,Yes,Yes,Yes,FM radio,Yes,No,
